Delta Degrees,Time of P Wave (min),Time of P Wave (sec),S-P Time (min),S-P Time (sec),P,S-P Time,S
0,0,5.4,0,4,5.4,4,9.4
0.5,0,10.6,0,7.8,10.6,7.8,18.4
1,0,17.7,0,13.5,17.7,13.5,31.2
1.5,0,24.6,0,19,24.6,19,43.6
2,0,31.4,0,24.4,31.4,24.4,55.8
2.5,0,38.3,0,29.9,38.3,29.9,68.2
3,0,45.2,0,35.4,45.2,35.4,80.6
3.5,0,52.1,0,40.9,52.1,40.9,93
4,0,58.9,0,46.4,58.9,46.4,105.3
4.5,1,5.8,0,51.9,65.8,51.9,117.7
5,1,12.7,0,57.4,72.7,57.4,130.1
5.5,1,19.6,1,2.8,79.6,62.8,142.4
6,1,26.4,1,8.3,86.4,68.3,154.7
6.5,1,33.3,1,13.8,93.3,73.8,167.1
7,1,40.2,1,19.2,100.2,79.2,179.4
7.5,1,47,1,24.7,107,84.7,191.7
8,1,53.9,1,30.1,113.9,90.1,204
8.5,2,0.7,1,35.6,120.7,95.6,216.3
9,2,7.6,1,41,127.6,101,228.6
9.5,2,14.4,1,46.5,134.4,106.5,240.9
10,2,21.3,1,51.9,141.3,111.9,253.2
11,2,35,2,2.7,155,122.7,277.7
12,2,48.7,2,13.5,168.7,133.5,302.2
13,3,2.3,2,24.3,182.3,144.3,326.6
14,3,16,2,35,196,155,351
15,3,29.5,2,45.8,209.5,165.8,375.3
16,3,42.5,2,57.1,222.5,177.1,399.6
17,3,55.2,3,8.7,235.2,188.7,423.9
18,4,7.5,3,20.5,247.5,200.5,448
19,4,18.8,3,33.4,258.8,213.4,472.2
20,4,29.7,3,43.8,269.7,223.8,493.5
21,4,40.6,3,52.9,280.6,232.9,513.5
22,4,51.3,4,1.8,291.3,241.8,533.1
23,5,1.9,4,9.2,301.9,249.2,551.1
24,5,11.6,4,15.7,311.6,255.7,567.3
25,5,20.7,4,22.6,320.7,262.6,583.3
26,5,29.8,4,29.4,329.8,269.4,599.2
27,5,38.8,4,36.2,338.8,276.2,615
28,5,47.7,4,42.9,347.7,282.9,630.6
29,5,56.6,4,49.8,356.6,289.8,646.4
30,6,5.5,4,56.6,365.5,296.6,662.1
31,6,14.3,5,3.4,374.3,303.4,677.7
32,6,23.1,5,10.2,383.1,310.2,693.3
33,6,31.9,5,17,391.9,317,708.9
34,6,40.5,5,23.8,400.5,323.8,724.3
35,6,49.2,5,30.5,409.2,330.5,739.7
36,6,57.8,5,37.3,417.8,337.3,755.1
37,7,6.3,5,44,426.3,344,770.3
38,7,14.7,5,50.7,434.7,350.7,785.4
39,7,23.1,5,57.4,443.1,357.4,800.5
40,7,31.4,6,4,451.4,364,815.4
41,7,39.7,6,10.7,459.7,370.7,830.4
42,7,47.9,6,17.3,467.9,377.3,845.2
43,7,56,6,23.9,476,383.9,859.9
44,8,4.1,6,30.4,484.1,390.4,874.5
45,8,12.1,6,37,492.1,397,889.1
46,8,20,6,43.5,500,403.5,903.5
47,8,27.8,6,49.9,507.8,409.9,917.7
48,8,35.6,6,56.4,515.6,416.4,932
49,8,43.3,7,2.8,523.3,422.8,946.1
50,8,50.9,7,9.1,530.9,429.1,960
51,8,58.5,7,15.5,538.5,435.5,974
52,9,6,7,21.8,546,441.8,987.8
53,9,13.4,7,28.1,553.4,448.1,1001.5
54,9,20.7,7,34.3,560.7,454.3,1015
55,9,28,7,40.5,568,460.5,1028.5
56,9,35.2,7,46.6,575.2,466.6,1041.8
57,9,42.3,7,52.8,582.3,472.8,1055.1
58,9,49.4,7,58.8,589.4,478.8,1068.2
59,9,56.3,8,4.9,596.3,484.9,1081.2
60,10,3.2,8,10.9,603.2,490.9,1094.1
61,10,10.1,8,16.9,610.1,496.9,1107
62,10,16.8,8,22.8,616.8,502.8,1119.6
63,10,23.5,8,28.7,623.5,508.7,1132.2
64,10,30.1,8,34.5,630.1,514.5,1144.6
65,10,36.7,8,40.3,636.7,520.3,1157
66,10,43.2,8,46.1,643.2,526.1,1169.3
67,10,49.5,8,51.8,649.5,531.8,1181.3
68,10,55.9,8,57.5,655.9,537.5,1193.4
69,11,2.1,9,3.1,662.1,543.1,1205.2
70,11,8.3,9,8.7,668.3,548.7,1217
71,11,14.4,9,14.3,674.4,554.3,1228.7
72,11,20.4,9,19.8,680.4,559.8,1240.2
73,11,26.4,9,25.2,686.4,565.2,1251.6
74,11,32.3,9,30.6,692.3,570.6,1262.9
75,11,38.1,9,36,698.1,576,1274.1
76,11,43.8,9,41.3,703.8,581.3,1285.1
77,11,49.5,9,46.6,709.5,586.6,1296.1
78,11,55.1,9,51.8,715.1,591.8,1306.9
79,12,0.6,9,57,720.6,597,1317.6
80,12,6,10,2.1,726,602.1,1328.1
81,12,11.4,10,7.2,731.4,607.2,1338.6
82,12,16.7,10,12.3,736.7,612.3,1349
83,12,21.9,10,17.3,741.9,617.3,1359.2
84,12,27,10,22.2,747,622.2,1369.2
85,12,32,10,27.1,752,627.1,1379.1
86,12,37,10,31.9,757,631.9,1388.9
87,12,41.9,10,36.7,761.9,636.7,1398.6
88,12,46.7,10,41.4,766.7,641.4,1408.1
89,12,51.4,10,46.1,771.4,646.1,1417.5
90,12,56.1,10,50.7,776.1,650.7,1426.8
91,13,0.7,10,55.2,780.7,655.2,1435.9
92,13,5.4,10,59.5,785.4,659.5,1444.9
93,13,10,11,3.7,790,663.7,1453.7
94,13,14.5,11,7.9,794.5,667.9,1462.4
95,13,19.1,11,12,799.1,672,1471.1
96,13,23.6,11,16.1,803.6,676.1,1479.7
97,13,28.1,11,20.1,808.1,680.1,1488.2
98,13,32.6,11,24.1,812.6,684.1,1496.7
99,13,37,11,28.1,817,688.1,1505.1
100,13,41.5,11,32,821.5,692,1513.5
101,13,45.9,11,35.8,825.9,695.8,1521.7
102,13,50.4,11,39.7,830.4,699.7,1530.1
103,13,54.8,11,43.6,834.8,703.6,1538.4
104,13,59.2,11,47.5,839.2,707.5,1546.7
105,14,3.7,11,51.4,843.7,711.4,1555.1
