sta, Lg path, nobs, mincc, maxcc, meancc, sigma res (s)
BAR2, red,    4, 0.27, 0.47, 0.36, 0.0110
CWO2, blue,  12, 0.25, 0.63, 0.40, 0.0091
GAHB, red,    7, 0.24, 0.47, 0.34, 0.0048
GAPB, blue,   6, 0.25, 0.63, 0.34, 0.0059
HWCB, blue,   9, 0.24, 0.57, 0.34, 0.0044
MDJ, red,   21, 0.31, 0.83, 0.59, 0.0085
SEHB, black,  3, 0.25, 0.48, 0.36, 0.0048
SKC2, black, 11, 0.24, 0.49, 0.32, 0.0084
USA0B, red, 21, 0.24, 0.77, 0.49, 0.0112
YNCB,  red, 11, 0.24, 0.64, 0.34, 0.0118
YPDB,  red,   3, 0.29, 0.50, 0.41, 0.0028
