sta,   lat,      lon,        elev
BAR2,37.9771,124.7142,39
CHC2,37.7776,127.8145,238
CHJ2,36.873,127.9748,217
CWO2,38.0835,127.5205,368
CWS1,38.2881,127.587,0
DACB,37.8317,124.7068,81
GAHB,37.7076,126.4465,63
GAPB,37.8441,127.495,0
HWCB,38.2214,127.6707,302
IJA2,37.9865,128.1111,217
JMJ,37.8816,128.7561,73
KS31,37.4421,127.8844,0
MDJ,44.617,129.5908,220
MUS2,37.8862,126.7656,24
SEHB,38.2686,128.2525,401
SEO2,37.4939,126.9171,85
SHHB,37.3488,126.7039,39
SKC2,38.2899,128.5219,56
USA0B,44.1999,131.9887,170
YNCB,38.0398,126.9258,55
YPDB,37.608,125.7102,0
